Genes	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
AARSD1	3.01711e+07	3.33239e+07	3.21404e+07	1.90077e+07	2.73592e+07	2.12946e+07	2.94894e+07	3.64454e+07	3.5337e+07	3.86144e+07	3.12702e+07	3.1873e+07	1.8617e+07	1.91165e+07	1.86823e+07	2.03858e+07	1.89236e+07	1.81202e+07	1.82378e+07	2.32446e+07	2.83209e+07	2.81471e+07	2.26999e+07	2.38006e+07	2.28099e+07	2.00968e+07	2.02815e+07
AASDH		2.53066e+06	2.46267e+06			2.348e+06					2.53952e+06	2.35663e+06											1.81866e+06				
AASDHPPT	4.68169e+07	4.70883e+07	5.09971e+07	4.30007e+07	3.97541e+07	4.29935e+07	4.74887e+07	4.92404e+07	4.74851e+07	4.81769e+07	4.28876e+07	4.46147e+07	4.05645e+07	4.31284e+07	4.00594e+07	4.54065e+07	4.22079e+07	4.28249e+07	4.78645e+07	3.72202e+07	4.38407e+07	3.93732e+07	3.89092e+07	4.45435e+07	4.14351e+07	4.42286e+07	4.24263e+07
AATF	2.47615e+07	2.71021e+07	2.61424e+07	1.68593e+07	2.3315e+07	1.93966e+07	2.40457e+07	2.00316e+07	2.57869e+07	3.00416e+07	1.88772e+07	2.6538e+07	2.24141e+07	2.22809e+07	1.69273e+07	1.6217e+07	2.5473e+07	2.32105e+07	2.21128e+07	2.29193e+07	2.64697e+07	2.43318e+07	2.26175e+07	1.85434e+07	1.85765e+07	2.59855e+07	2.43896e+07
ABAT				2.26126e+06									4.51352e+06	2.78005e+06	3.48159e+06	4.97013e+06	3.78056e+06	2.5799e+06	2.55886e+06		1.12623e+06						
ABCA1														2.41555e+06	5.74654e+06	5.60944e+06											
ABCA2	577240	734065	519355	1.94211e+06		572291	671000	612939	717178	631012	1.56566e+06		1.90656e+06	2.01072e+06	2.21975e+06	2.73745e+06	2.54403e+06	1.90574e+06	2.25854e+06	477629	946142	598442		591887	434396	499768	510058
ABCA3	1.45681e+06						1.22389e+06																				
ABCB10	1.93539e+07	2.46381e+07	2.33283e+07	6.47775e+07	3.21233e+07	8.23185e+07	2.24552e+07	2.02354e+07	3.31724e+07	2.24858e+07	2.29271e+07	2.34476e+07	6.36918e+07	6.98725e+07	5.50932e+07	7.10473e+07	6.62207e+07	6.61898e+07	6.85715e+07	3.05712e+07	3.38622e+07	3.64576e+07	4.73077e+07	2.26601e+07	3.45818e+07	8.1875e+07	8.86813e+07
ABCB7	1.18968e+07	1.5946e+07	1.52959e+07	9.29962e+06	1.25697e+07	1.31745e+07	1.55929e+07	1.41941e+07	1.72964e+07	1.2606e+07	1.68221e+07	1.59725e+07	1.07769e+07	8.61685e+06	7.80641e+06	7.92402e+06	8.40125e+06	1.03827e+07	1.0921e+07	1.16953e+07	1.42556e+07	1.36696e+07	1.42644e+07	1.59884e+07	1.61012e+07	1.51475e+07	1.28907e+07
ABCB8	6.13501e+06	7.94795e+06	6.49522e+06	8.93083e+06	3.69258e+06	4.18807e+06	6.48189e+06	6.59598e+06	5.98083e+06	6.10747e+06	7.04894e+06	7.21124e+06	9.14695e+06	8.11048e+06	8.04657e+06	8.47888e+06	8.82211e+06	8.76149e+06	9.08472e+06	3.6834e+06	3.02848e+06	2.96546e+06	4.92598e+06	4.14588e+06	3.7111e+06	4.60346e+06	4.08835e+06
ABCC1	2.08667e+06	2.01542e+06	1.98109e+06	1.25027e+06	4.525e+06	3.52622e+06	2.15145e+06	1.79134e+06	2.10964e+06	2.06457e+06	1.90472e+06	2.0963e+06	1.61082e+06	1.4205e+06	1.57864e+06	1.47938e+06	839272	1.35057e+06	1.11797e+06	3.83278e+06	3.45528e+06	3.02759e+06	4.49539e+06	4.06396e+06	4.30573e+06	2.91868e+06	2.62779e+06
ABCC10	470725	231094	275155	114011	104737		345347	350406	281347	315844	241553	261112	156445			129024	133611	154289	137933				102262			80188.9	
ABCC4	1.04157e+07	1.08649e+07	9.82362e+06	4.71592e+06	6.18048e+06	5.08559e+06	9.80391e+06	9.3567e+06	9.03359e+06	9.02534e+06	1.14205e+07	1.18693e+07	5.49906e+06	4.80949e+06	5.54186e+06	6.09541e+06	5.79461e+06	4.61559e+06	4.56954e+06	5.50613e+06	5.54936e+06	5.34988e+06	4.68328e+06	5.84626e+06	6.82824e+06	4.79912e+06	5.00706e+06
ABCC5					451646	352068														316227	474487	379297	539584			389703	439234
ABCD1	6.36412e+06	3.43485e+06	8.90488e+06	3.24564e+07	3.91451e+07	3.63475e+07	5.34919e+06		9.68599e+06	4.36115e+06	2.895e+06		3.4229e+07	3.77031e+07	3.42808e+07	3.34525e+07	2.68586e+07	2.87906e+07	2.58144e+07	3.03301e+07	2.77818e+07	3.05732e+07	3.12393e+07	3.26187e+07	3.26958e+07	2.91314e+07	2.88733e+07
ABCD2				1.10342e+06										625342		1.01128e+06	874472										
ABCD3	2.70184e+07	2.97079e+07	2.91198e+07	2.72883e+07	3.24198e+07	3.41211e+07	2.90623e+07	3.45538e+07	2.35384e+07	3.26861e+07	3.10026e+07	3.02438e+07	1.96936e+07	2.20636e+07	2.07836e+07	2.62849e+07	2.09105e+07	2.13622e+07	2.19723e+07	2.33342e+07	3.01157e+07	2.66488e+07	2.48307e+07	2.85332e+07	2.7487e+07	2.80656e+07	3.16237e+07
ABCD4	256998	213415	645483	381991		490194	296227	355845		397885	298446	266618	290326	319196	304807	234043		342882	402253	383010	436384	378180	438546		126806	457878	418980
ABCE1	1.92583e+08	2.27423e+08	2.25486e+08	1.79765e+08	1.68006e+08	1.73088e+08	2.19905e+08	2.39293e+08	1.87989e+08	1.99397e+08	2.30674e+08	2.18871e+08	1.6811e+08	1.7518e+08	1.79486e+08	1.74924e+08	1.60906e+08	1.64816e+08	1.60317e+08	1.63976e+08	1.51933e+08	1.5012e+08	1.66278e+08	1.79441e+08	1.90266e+08	1.521e+08	1.39632e+08
ABCF1	8.28667e+07	8.42964e+07	8.28277e+07	6.12377e+07	7.9727e+07	7.16274e+07	8.95352e+07	8.66074e+07	8.07544e+07	9.00661e+07	8.5946e+07	8.33689e+07	6.23137e+07	6.01401e+07	6.11949e+07	6.18138e+07	6.41521e+07	6.56542e+07	6.31003e+07	7.74964e+07	6.69833e+07	7.59074e+07	9.47155e+07	9.29409e+07	8.57573e+07	7.26775e+07	7.02109e+07
ABCF2	5.58517e+07	6.4402e+07	6.7366e+07	6.18201e+07	4.66269e+07	4.83085e+07	6.02824e+07	6.33495e+07	5.33203e+07	5.61408e+07	6.5056e+07	6.41826e+07	5.07644e+07	5.36243e+07	5.44561e+07	5.46208e+07	5.64947e+07	6.33886e+07	6.30536e+07	5.86306e+07	4.96003e+07	4.60917e+07	5.4757e+07	4.83915e+07	5.21936e+07	5.18823e+07	4.99305e+07
ABCF3	1.91545e+07	1.79174e+07	1.86596e+07	2.02462e+07	3.45511e+07	2.54792e+07	1.92917e+07	1.793e+07	2.02974e+07	2.00536e+07	1.78232e+07	1.73374e+07	1.95891e+07	1.86433e+07	1.77802e+07	2.0165e+07	1.93093e+07	2.02064e+07	1.78769e+07	3.11306e+07	3.04863e+07	3.3743e+07	3.22837e+07	3.48462e+07	3.30677e+07	2.76817e+07	2.65531e+07
ABCG2																				3.1964e+06							
ABHD1							289724								334420									405639			
ABHD10	2.84827e+07	3.44538e+07	2.55864e+07	3.18376e+07	3.17057e+07	3.18842e+07	2.93718e+07	2.46673e+07	3.01547e+07	2.42491e+07	3.2546e+07	3.24534e+07	3.12127e+07	2.71811e+07	2.71018e+07	2.55879e+07	2.8135e+07	3.45025e+07	3.71451e+07	2.62799e+07	2.4596e+07	3.22786e+07	2.96041e+07	3.08911e+07	3.09311e+07	3.00279e+07	3.14418e+07
ABHD11	5.85588e+06	7.61334e+06	6.72258e+06	1.75447e+07	1.19094e+07	1.07193e+07	5.84769e+06	5.54878e+06	4.47856e+06	6.23568e+06	5.88822e+06	6.12522e+06	2.29703e+07	1.64637e+07	1.54315e+07	1.66818e+07	1.97485e+07	1.79869e+07	1.7474e+07	9.23842e+06	1.38415e+07	1.38583e+07	9.23108e+06	9.99175e+06	7.78371e+06	9.2914e+06	1.15162e+07
ABHD12	1.75552e+07	1.4031e+07	1.48679e+07	2.16871e+07	1.32588e+07	1.23134e+07	1.71027e+07	1.583e+07	2.328e+07	1.38418e+07	1.29217e+07	1.41563e+07	3.13111e+07	2.65748e+07	2.95581e+07	2.9097e+07	2.65174e+07	2.27205e+07	2.0722e+07	1.26731e+07	1.3818e+07	1.2099e+07	1.40932e+07	1.22398e+07	1.2816e+07	1.14379e+07	1.07836e+07
ABHD14A	1.2733e+06	999105	588174	2.07249e+06	1.17642e+06	1.44394e+06	1.10049e+06	1.13844e+06	1.23281e+06	1.09581e+06	673341	1.18128e+06	2.1379e+06	1.31233e+06	1.74449e+06	2.12242e+06	1.98313e+06	2.01938e+06	2.05895e+06	1.72321e+06	1.85115e+06	1.84738e+06	1.13409e+06	1.47972e+06	1.12226e+06	1.47925e+06	1.65369e+06
ABHD14B	1.04958e+08	1.25685e+08	1.49499e+08	2.04769e+08	9.14939e+07	1.01375e+08	1.36313e+08	1.33957e+08	1.29667e+08	1.28822e+08	1.26163e+08	1.25454e+08	1.79e+08	1.9077e+08	1.54012e+08	1.89336e+08	1.73978e+08	1.80509e+08	2.08809e+08	7.82205e+07	8.22592e+07	7.54032e+07	9.9965e+07	1.23021e+08	1.12205e+08	8.91991e+07	8.28995e+07
ABHD15	980468	829478	926093	1.69333e+06	1.29281e+06	2.20834e+06				861805			1.62885e+06	1.53379e+06	1.24226e+06	1.59416e+06	1.40666e+06	1.58937e+06	1.49534e+06	1.25061e+06	976787	1.0062e+06	1.50208e+06	1.34384e+06	1.04798e+06	1.63536e+06	1.79437e+06
ABHD16A	2.57687e+07	2.42967e+07	2.12685e+07	1.17919e+07	1.71502e+07	1.6247e+07	2.41161e+07	2.38646e+07	2.60893e+07	2.40299e+07	2.42347e+07	2.46128e+07	1.27959e+07	1.15659e+07	1.24595e+07	1.14316e+07	1.0824e+07	1.17107e+07	1.13426e+07	1.61786e+07	1.64512e+07	1.74031e+07	1.72217e+07	1.47194e+07	1.54066e+07	1.54709e+07	1.6668e+07
ABHD16B																			154088					251188		241029	
ABHD17A	3.8826e+06	3.59942e+06	3.9025e+06	6.23839e+06	3.08041e+06	4.44994e+06	4.94723e+06	4.23947e+06	2.48287e+06	2.63555e+06	4.22125e+06	3.91495e+06	6.97951e+06	6.33409e+06	6.34409e+06	6.35192e+06	5.53028e+06	5.57841e+06	5.67483e+06	3.39591e+06	2.56878e+06		2.77159e+06		3.55667e+06	2.92111e+06	2.36739e+06
ABHD17B	4.94063e+06	4.2403e+06	4.48851e+06	1.49404e+07	6.90371e+06	8.47988e+06	3.84792e+06	3.77855e+06	3.72124e+06	3.82673e+06	3.99747e+06	3.904e+06	9.27748e+06	1.05624e+07	1.17806e+07	9.97351e+06	9.24465e+06	1.24308e+07	1.17487e+07	5.55938e+06	5.12754e+06	4.63764e+06	5.03464e+06	6.63347e+06	7.14102e+06	6.25922e+06	6.42703e+06
ABHD18				438435		553614	217426							480123		280488											
ABHD2													213509			438855	223881	276035	288021								
ABHD4	528484		410134		1.24736e+06	1.23547e+06	539846		674970	836818										659522		1.15711e+06	202546	800470	668194	1.11132e+06	874369
ABHD5	7.16862e+06	5.18999e+06	5.86346e+06	2.45423e+06	4.34367e+06	3.65743e+06	6.06139e+06	6.46319e+06	7.91765e+06	7.78229e+06	5.70104e+06	6.20718e+06	2.02859e+06		1.37728e+06	2.0323e+06	2.01775e+06	2.73062e+06	2.83604e+06	3.46582e+06	3.61504e+06	3.54662e+06	4.13967e+06	3.66589e+06	4.52604e+06	4.13694e+06	4.4973e+06
ABI1	4.91444e+07	4.3108e+07	3.59507e+07	3.31334e+07	3.89749e+07	4.05548e+07	4.77836e+07	4.07003e+07	4.10999e+07	4.34949e+07	4.57144e+07	4.35296e+07	2.73124e+07	3.1203e+07	2.96885e+07	2.86467e+07	2.51353e+07	2.59308e+07	2.61138e+07	2.60093e+07	3.50702e+07	3.03424e+07	3.12977e+07	4.34578e+07	3.85115e+07	3.66798e+07	3.72234e+07
ABI2	3.09555e+06	2.83759e+06	2.69053e+06		4.89454e+06	4.44796e+06	2.00472e+06	2.38858e+06	2.90332e+06	2.69712e+06	2.79838e+06	3.00363e+06	2.16409e+06	1.7011e+06			2.50331e+06			3.35099e+06	3.69103e+06	3.83965e+06	4.2064e+06	5.00842e+06	5.85594e+06	4.05074e+06	4.08103e+06
ABI3					1.57532e+07	5.85776e+06														1.20191e+07	1.27577e+07	1.19384e+07	1.11385e+07	6.62083e+06	8.80563e+06	7.0287e+06	6.72582e+06
ABITRAM			855072					895064			1.54426e+06	918568		667647	544510	642488											
ABL1	2.79237e+06	2.40298e+06	2.43133e+06	2.62947e+06	3.40453e+06	2.60572e+06	2.88316e+06	2.74728e+06	2.60938e+06	2.82254e+06	2.31401e+06	2.44859e+06	3.25979e+06	3.15484e+06	3.29838e+06	2.6366e+06	3.09124e+06	3.01078e+06	3.16005e+06	3.12022e+06	2.94712e+06	3.15256e+06	2.94021e+06	3.61122e+06	3.53521e+06	3.04264e+06	3.07269e+06
ABL2	2.94916e+06	2.06877e+06	1.95295e+06	1.82407e+06	4.0614e+06	4.26964e+06	2.99122e+06	2.09514e+06	3.8681e+06	2.25085e+06	1.82101e+06	1.94464e+06	1.44953e+06	1.29144e+06	1.34943e+06	1.77948e+06	1.80146e+06	1.7409e+06	1.70554e+06	4.48038e+06	4.3647e+06	4.68553e+06	4.52586e+06	2.76473e+06	4.93394e+06	4.41439e+06	4.64812e+06
ABR	1.77076e+07	1.46486e+07	1.40964e+07	2.97703e+07	2.21565e+07	1.87016e+07	1.86762e+07	1.33789e+07	1.48349e+07	1.62516e+07	1.23431e+07	1.3901e+07	2.6295e+07	2.22088e+07	2.59511e+07	2.52891e+07	2.64464e+07	2.90734e+07	2.59391e+07	1.64507e+07	1.56598e+07	1.47669e+07	1.95216e+07	1.86033e+07	1.8964e+07	1.29072e+07	1.29366e+07
ABRACL	1.52605e+09	1.07851e+09	9.03612e+08	5.24869e+08	1.76651e+09	1.47523e+09	1.38823e+09	1.23002e+09	1.94947e+09	1.33274e+09	1.23487e+09	1.19954e+09	8.70868e+08	5.72386e+08	5.53266e+08	4.17746e+08	4.9613e+08	5.17047e+08	7.24793e+08	2.07999e+09	1.80408e+09	1.73391e+09	1.89573e+09	2.36089e+09	1.78488e+09	1.81919e+09	2.03911e+09
ABRAXAS1	2.9228e+06	4.80503e+06	3.31661e+06	2.64831e+06	2.21371e+06	2.52384e+06	2.60655e+06	4.88896e+06	3.91952e+06	3.1304e+06	3.93057e+06	4.45601e+06	2.71587e+06	2.75946e+06	2.52918e+06	2.78909e+06	2.65485e+06	2.39069e+06	2.4072e+06	1.9365e+06	1.88382e+06	2.31846e+06	1.0612e+06	2.19136e+06	1.6941e+06	2.49315e+06	2.18085e+06
ABRAXAS2	2.17272e+07	2.19192e+07	2.12911e+07	2.69715e+07	1.92971e+07	2.01111e+07	2.14103e+07	2.42134e+07	2.00634e+07	2.13509e+07	2.10711e+07	2.2781e+07	2.91121e+07	2.77114e+07	3.0033e+07	2.80858e+07	2.52971e+07	2.4243e+07	2.34315e+07	1.68588e+07	1.82818e+07	1.84551e+07	1.31013e+07	1.78651e+07	1.84805e+07	1.55775e+07	1.60741e+07
